start poin,end point,total cost,layer,path
57,212,31.080,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,216,31.080,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,336,36.624,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
63,63,0.000,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,57,18.462,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,66,20.033,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,34,20.033,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,41,21.163,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,460,23.844,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,387,24.733,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,40,25.477,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,102,26.577,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,334,26.924,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,91,27.584,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,347,27.584,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,139,27.752,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,365,28.004,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,13,32.409,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,330,36.582,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,26,38.122,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,100,38.122,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,92,38.706,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,28,38.706,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,409,39.327,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,411,40.304,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,16,40.546,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,121,42.089,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,364,42.089,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,212,43.964,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,216,43.964,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
63,336,49.508,Carthage,C:/Users/him628/Documents/Carthage-LCP.shp|layername=Carthage-LCP
66,66,0.000,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,34,0.000,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,41,1.580,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,460,4.849,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,387,5.850,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,40,6.482,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,102,6.544,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,139,7.719,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,334,7.929,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,91,8.589,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,347,8.589,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,365,9.009,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,13,13.414,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,330,16.549,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,57,16.973,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,26,18.089,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,100,18.089,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,92,18.673,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,28,18.673,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,409,19.294,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,63,20.033,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,411,20.271,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,121,22.056,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
66,364,22.056,Corinth,C:/Users/him628/Documents/Corinth-LCP.shp|layername=Corinth-LCP
